GROUP_ID,GROUP_NAME,GROUP_LINK,MENU_LINK,TAG_LIST
6be3627676cf4cf3ba2f5af27f0a269f,麻鼠麻肉,https://linktr.ee/marow3120,https://www.plurk.com/p/3i9pcji4yk,絕區零
df58fb2f202149bea47e52f247e461dd,兩齒,,,
f0de6743a34e44b38988386f64908973,熊初末,https://www.facebook.com/xiongchumo,https://www.facebook.com/xiongchumo/posts/pfbid02fE8EeVtwNX36gPdxS1eq4CsWsLQyNAgQKhGKmtcFbaBiWdCvuspTGXqbAiNmQbVxl,"絕區零,星穹鐵道"
d5fbaa189924420e94059f1f940dd414,波羅田,https://www.facebook.com/profile.php?id=61584005884273,https://www.facebook.com/permalink.php?story_fbid=pfbid0f6NSmA1bgtX68YQ2sB9xApe281r9rB729JiTzb1Gje7ub29MMoGepQUYj3k5oPdGl&id=61584005884273,絕區零
f3b1cc4934034c4aa65718098209f07e,GLI居狸,,,
bb298f5dab494aed8e13ecdc5842a686,Luminous冷凝,https://portaly.cc/luminousart,https://www.facebook.com/LuminousArtwork/posts/pfbid02V9do3zkdw3M5UjccPicNJX6N3hjqHCuo5vqkHTygYxsYFnfR4cd4sTFbbMVPTkkil,絕區零
bca244d413a2444486e8cb7e30442e06,CIAN YO,,,妮姬
43b0765e9bad4dff879f69aed2e8fc57,WaterRing 水鈴鈴 愛麗絲的汪汪,,,
7c6a57ba0a424cb6ab37253122087919,黑星白星BsWs,https://www.facebook.com/Reina.BsWs,,"絕區零,VTuber,蔚藍檔案"
5c0a5dbffcf145d2ae59cd66e932ee81,黑蛛白蛛,https://www.facebook.com/Reina.BsWs,https://www.facebook.com/Reina.BsWs/posts/pfbid0JbqUGHbEQPDA9L4kdLr9B49ZzZ17AVXZGkjS1SgUqpJz2Xg5zv6gM9ihfmjWFxoml,絕區零
4ef6e1c176e0489592c3b012fea1a26e,Wish+希冀之翼+,https://www.facebook.com/Wishswing,https://www.facebook.com/Wishswing/posts/pfbid0jiox124w9ArHnxLfNEC1DxNiyA5SH6bgsKfgkgB1ZhxcPU74m2rqtjMVka1sabQpl,星穹鐵道
bdd164379efc497c8873f0b4371f9ae8,箱庭交響曲,https://www.facebook.com/hknwsymphony,https://www.facebook.com/hknwsymphony/posts/pfbid0uYEZzNjYYA4K5j9q2gSwuSwfGhJzwQ42CwBWxWWR2HZvxf5iArBEibHowqKDWogcl,星穹鐵道
18381397a4c045be8459bc15107b173a,Kouchiku卡卡,https://linktr.ee/kouchiku,https://www.facebook.com/kaka.kuo/posts/pfbid0donNMP1EVKqGFLYrD9RMUyEGAgiQDN1RukZkmwn73aBHrj33yL6tgNZBziN2C8Dpl,星穹鐵道
8e43817dc98a438f8f812b0322194b08,御芊,https://lit.link/zh-tw/yuchienwork,https://x.com/yuchien_work/status/2012776697331085573,"崩壞3rd,星穹鐵道"
f73f88b7a61a4336b7aa87261785ce19,肚臍轉圈圈,https://lit.link/en/duchi0356,https://www.facebook.com/permalink.php?story_fbid=pfbid035xvj4gKncRCZtwrndwTgdPVuLU15MnKURFf3gpc7nnHcx5AUmkbE5Q21Q69XvL8Nl&id=100079517563861,"絕區零,VTuber"
439d3c8efd7f4b56b18dbe97440a001e,興趣始燃,,,
78153b90baac48c4be706568adc2b5b7,待援生活,,,"原神,星穹鐵道"
95d82dce023c4424973c95a5adb4bd59,盛櫻之汀,https://www.facebook.com/profile.php?id=100072079989043,,
87923c57aea74187a22432b29c98bc57,涼拌天窗,https://www.facebook.com/NaiMi0719,https://www.facebook.com/NaiMi0719/posts/pfbid02oHmLzVsPqxi1MBrB2Nx8xWbUxgAi5uVoHmKVnfXHMK3m6VxSvD1Rcf2s7nd4Ca2vl,星穹鐵道
915a3346b9954479a945f1d8db530c19,旅月月,https://www.facebook.com/travelmoon85,https://www.facebook.com/travelmoon85/posts/pfbid02s9e9xP3GmaxWdB6WtHdRjDTZF9MCcw6RZBWBDRaYBLr9JCYszqRCsGwXAXJ62ZUnl,"世界計畫,星穹鐵道"
c523f813ae3f40a68563f90c3be02f40,吉喵熊熊,https://www.facebook.com/wu.xi.ya.458042,https://www.facebook.com/wu.xi.ya.458042/posts/pfbid02ezoLmbcvutsiSS4V5AAuvm3V2MLiFcjCTgUvUVunGgX4NdFgo4zkwAZ5uW7ZcKshl,"星穹鐵道,絕區零"
5dc25a09f92341438d134f6dcdfa0fe5,星米恩,https://linktr.ee/richard04707,https://www.facebook.com/shin.meyin/posts/pfbid0LAor97HVjds2fQ5wf5gmAw99usA2knWbHFfps8h38qnszmzV3JidWJFXPN6WaBtJl,星穹鐵道
ead2560b49e6402892ed601324aa00a9,7MA,https://x.com/c7n520gpss,https://www.facebook.com/xie.qi.en.521056/posts/pfbid02MawKTQhkzejyrvakZmYpogfFF33wFob4QGZE6gctYCuXhi5e3q3BouPuwkEzNXZBl,星穹鐵道
